year,ronda,nombre_carrera,nombre_circuito,fecha_carrera,hora_carrera,fecha_carrera_sprint,url_foto
2021,10,British Grand Prix,Silverstone Circuit,2021-07-18,14:00:00Z,2021-07-17,backend/fotos_circuitos/british_2021.jpg
2021,11,Hungarian Grand Prix,Hungaroring,2021-08-01,13:00:00Z,NA,backend/fotos_circuitos/hungarian_2021.jpg
2021,12,Belgian Grand Prix,Circuit de Spa-Francorchamps,2021-08-29,13:00:00Z,NA,backend/fotos_circuitos/belgian_2021.jpg
2021,13,Dutch Grand Prix,Circuit Park Zandvoort,2021-09-05,13:00:00Z,NA,backend/fotos_circuitos/dutch_2021.jpg
2021,14,Italian Grand Prix,Autodromo Nazionale di Monza,2021-09-12,13:00:00Z,2021-09-11,backend/fotos_circuitos/italian_2021.jpg
2021,15,Russian Grand Prix,Sochi Autodrom,2021-09-26,12:00:00Z,NA,backend/fotos_circuitos/russian_2021.jpg
2021,16,Turkish Grand Prix,Istanbul Park,2021-10-10,12:00:00Z,NA,backend/fotos_circuitos/turkish_2021.jpg
2021,17,United States Grand Prix,Circuit of the Americas,2021-10-24,19:00:00Z,NA,backend/fotos_circuitos/united_states_2021.jpg
2021,18,Mexico City Grand Prix,Autódromo Hermanos Rodríguez,2021-11-07,19:00:00Z,NA,backend/fotos_circuitos/mexican_2021.jpg
2021,19,São Paulo Grand Prix,Autódromo José Carlos Pace,2021-11-14,17:00:00Z,2021-11-13,backend/fotos_circuitos/sao_paulo_2021.jpg
2021,20,Qatar Grand Prix,Losail International Circuit,2021-11-21,14:00:00Z,NA,backend/fotos_circuitos/qatar_2021.jpg
2021,21,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,2021-12-05,17:30:00Z,NA,backend/fotos_circuitos/saudi_2021.jpg
2021,22,Abu Dhabi Grand Prix,Yas Marina Circuit,2021-12-12,13:00:00Z,NA,backend/fotos_circuitos/abu_dhabi_2021.jpg
2022,1,Bahrain Grand Prix,Bahrain International Circuit,2022-03-20,15:00:00Z,NA,backend/fotos_circuitos/bahrain_2022.jpg
2022,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,2022-03-27,17:00:00Z,NA,backend/fotos_circuitos/saudi_2022.jpg
2022,3,Australian Grand Prix,Albert Park Grand Prix Circuit,2022-04-10,05:00:00Z,NA,backend/fotos_circuitos/australian_2022.jpg
2022,4,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,2022-04-24,13:00:00Z,2022-04-23,backend/fotos_circuitos/emilia_2022.jpg
2022,5,Miami Grand Prix,Miami International Autodrome,2022-05-08,19:30:00Z,NA,backend/fotos_circuitos/miami_2022.jpg
2022,6,Spanish Grand Prix,Circuit de Barcelona-Catalunya,2022-05-22,13:00:00Z,NA,backend/fotos_circuitos/spanish_2022.jpg
2022,7,Monaco Grand Prix,Circuit de Monaco,2022-05-29,13:00:00Z,NA,backend/fotos_circuitos/monaco_2022.jpg
2022,8,Azerbaijan Grand Prix,Baku City Circuit,2022-06-12,11:00:00Z,NA,backend/fotos_circuitos/azerbaijan_2022.jpg
2022,9,Canadian Grand Prix,Circuit Gilles Villeneuve,2022-06-19,18:00:00Z,NA,backend/fotos_circuitos/canadian_2022.jpg
2022,10,British Grand Prix,Silverstone Circuit,2022-07-03,14:00:00Z,NA,backend/fotos_circuitos/british_2022.jpg
2022,11,Austrian Grand Prix,Red Bull Ring,2022-07-10,13:00:00Z,2022-07-09,backend/fotos_circuitos/austrian_2022.jpg
2022,12,French Grand Prix,Circuit Paul Ricard,2022-07-24,13:00:00Z,NA,backend/fotos_circuitos/french_2022.jpg
2022,13,Hungarian Grand Prix,Hungaroring,2022-07-31,13:00:00Z,NA,backend/fotos_circuitos/hungarian_2022.jpg
2022,14,Belgian Grand Prix,Circuit de Spa-Francorchamps,2022-08-28,13:00:00Z,NA,backend/fotos_circuitos/belgian_2022.jpg
2022,15,Dutch Grand Prix,Circuit Park Zandvoort,2022-09-04,13:00:00Z,NA,backend/fotos_circuitos/dutch_2022.jpg
2022,16,Italian Grand Prix,Autodromo Nazionale di Monza,2022-09-11,13:00:00Z,NA,backend/fotos_circuitos/italian_2022.jpg
2022,17,Singapore Grand Prix,Marina Bay Street Circuit,2022-10-02,12:00:00Z,NA,backend/fotos_circuitos/singapore_2022.jpg
2022,18,Japanese Grand Prix,Suzuka Circuit,2022-10-09,05:00:00Z,NA,backend/fotos_circuitos/japanese_2022.jpg
2022,19,United States Grand Prix,Circuit of the Americas,2022-10-23,19:00:00Z,NA,backend/fotos_circuitos/united_states_2022.jpg
2022,20,Mexico City Grand Prix,Autódromo Hermanos Rodríguez,2022-10-30,20:00:00Z,NA,backend/fotos_circuitos/mexican_2022.jpg
2022,21,São Paulo Grand Prix,Autódromo José Carlos Pace,2022-11-13,18:00:00Z,2022-11-12,backend/fotos_circuitos/sao_paulo_2022.jpg
2022,22,Abu Dhabi Grand Prix,Yas Marina Circuit,2022-11-20,13:00:00Z,NA,backend/fotos_circuitos/abu_dhabi_2022.jpg
2023,1,Bahrain Grand Prix,Bahrain International Circuit,2023-03-05,15:00:00Z,NA,backend/fotos_circuitos/bahrain_2023.jpg
