year,piloto_id,nombre,abreviacion,pais,url_foto
2022,leclerc,Charles Leclerc,LEC,Monegasque,backend/fotos_pilotos/charles_leclerc_2022.jpg
2022,kevin_magnussen,Kevin Magnussen,MAG,Danish,backend/fotos_pilotos/kevin_magnussen_2022.jpg
2022,norris,Lando Norris,NOR,British,backend/fotos_pilotos/lando_norris_2022.jpg
2022,ocon,Esteban Ocon,OCO,French,backend/fotos_pilotos/esteban_ocon_2022.jpg
2022,perez,Sergio Pérez,PER,Mexican,backend/fotos_pilotos/sergio_perez_2022.jpg
2022,ricciardo,Daniel Ricciardo,RIC,Australian,backend/fotos_pilotos/daniel_ricciardo_2022.jpg
2022,russell,George Russell,RUS,British,backend/fotos_pilotos/george_russell_2022.jpg
2022,sainz,Carlos Sainz,SAI,Spanish,backend/fotos_pilotos/carlos_sainz_2022.jpg
2022,mick_schumacher,Mick Schumacher,MSC,German,backend/fotos_pilotos/mick_schumacher_2022.jpg
2022,stroll,Lance Stroll,STR,Canadian,backend/fotos_pilotos/lance_stroll_2022.jpg
2022,tsunoda,Yuki Tsunoda,TSU,Japanese,backend/fotos_pilotos/yuki_tsunoda_2022.jpg
2022,max_verstappen,Max Verstappen,VER,Dutch,backend/fotos_pilotos/max_verstappen_2022.jpg
2022,vettel,Sebastian Vettel,VET,German,backend/fotos_pilotos/sebastian_vettel_2022.jpg
2022,zhou,Guanyu Zhou,ZHO,Chinese,backend/fotos_pilotos/guanyu_zhou_2022.jpg
2023,albon,Alexander Albon,ALB,Thai,backend/fotos_pilotos/alexander_albon_2023.jpg
2023,alonso,Fernando Alonso,ALO,Spanish,backend/fotos_pilotos/fernando_alonso_2023.jpg
2023,bottas,Valtteri Bottas,BOT,Finnish,backend/fotos_pilotos/valtteri_bottas_2023.jpg
2023,de_vries,Nyck de Vries,DEV,Dutch,backend/fotos_pilotos/nyck_de_vries_2023.jpg
2023,gasly,Pierre Gasly,GAS,French,backend/fotos_pilotos/pierre_gasly_2023.jpg
2023,hamilton,Lewis Hamilton,HAM,British,backend/fotos_pilotos/lewis_hamilton_2023.jpg
2023,hulkenberg,Nico Hülkenberg,HUL,German,backend/fotos_pilotos/nico_hulkenberg_2023.jpg
2023,lawson,Liam Lawson,LAW,New Zealander,backend/fotos_pilotos/liam_lawson_2023.jpg
2023,leclerc,Charles Leclerc,LEC,Monegasque,backend/fotos_pilotos/charles_leclerc_2023.jpg
2023,kevin_magnussen,Kevin Magnussen,MAG,Danish,backend/fotos_pilotos/kevin_magnussen_2023.jpg
2023,norris,Lando Norris,NOR,British,backend/fotos_pilotos/lando_norris_2023.jpg
2023,ocon,Esteban Ocon,OCO,French,backend/fotos_pilotos/esteban_ocon_2023.jpg
2023,perez,Sergio Pérez,PER,Mexican,backend/fotos_pilotos/sergio_perez_2023.jpg
2023,piastri,Oscar Piastri,PIA,Australian,backend/fotos_pilotos/oscar_piastri_2023.jpg
2023,ricciardo,Daniel Ricciardo,RIC,Australian,backend/fotos_pilotos/daniel_ricciardo_2023.jpg
2023,russell,George Russell,RUS,British,backend/fotos_pilotos/george_russell_2023.jpg
2023,sainz,Carlos Sainz,SAI,Spanish,backend/fotos_pilotos/carlos_sainz_2023.jpg
2023,sargeant,Logan Sargeant,SAR,American,backend/fotos_pilotos/logan_sargeant_2023.jpg
2023,stroll,Lance Stroll,STR,Canadian,backend/fotos_pilotos/lance_stroll_2023.jpg
2023,tsunoda,Yuki Tsunoda,TSU,Japanese,backend/fotos_pilotos/yuki_tsunoda_2023.jpg
2023,max_verstappen,Max Verstappen,VER,Dutch,backend/fotos_pilotos/max_verstappen_2023.jpg
2023,zhou,Guanyu Zhou,ZHO,Chinese,backend/fotos_pilotos/guanyu_zhou_2023.jpg
2024,albon,Alexander Albon,ALB,Thai,backend/fotos_pilotos/alexander_albon_2024.jpg
2024,alonso,Fernando Alonso,ALO,Spanish,backend/fotos_pilotos/fernando_alonso_2024.jpg
2024,bearman,Oliver Bearman,BEA,British,backend/fotos_pilotos/oliver_bearman_2024.jpg
2024,bottas,Valtteri Bottas,BOT,Finnish,backend/fotos_pilotos/valtteri_bottas_2024.jpg
2024,colapinto,Franco Colapinto,COL,Argentinian,backend/fotos_pilotos/franco_colapinto_2024.jpg
2024,doohan,Jack Doohan,DOO,Australian,backend/fotos_pilotos/jack_dohaan_2024.png
2024,gasly,Pierre Gasly,GAS,French,backend/fotos_pilotos/pierre_gasly_2024.jpg
2024,hamilton,Lewis Hamilton,HAM,British,backend/fotos_pilotos/lewis_hamilton_2024.jpg
2024,hulkenberg,Nico Hülkenberg,HUL,German,backend/fotos_pilotos/nico_hulkenberg_2024.jpg
2023,lawson,Liam Lawson,LAW,New Zealander,backend/fotos_pilotos/liam_lawson_2023.jpg
2024,leclerc,Charles Leclerc,LEC,Monegasque,backend/fotos_pilotos/charles_leclerc_2024.jpg
2024,kevin_magnussen,Kevin Magnussen,MAG,Danish,backend/fotos_pilotos/kevin_magnussen_2024.jpg
2024,norris,Lando Norris,NOR,British,backend/fotos_pilotos/lando_norris_2024.jpg
2024,ocon,Esteban Ocon,OCO,French,backend/fotos_pilotos/esteban_ocon_2024.jpg
